id,email,firstName,lastName
1,george.bluth@reqres.in,George,Bluth
2,janet.weaver@reqres.in,Janet,Weaver
3,emma.wong@reqres.in,Emma,Wong
4,eve.holt@reqres.in,Eve,Holt
5,charles.morris@reqres.in,Charles,Morris
6,tracey.ramos@reqres.in,Tracey,Ramos
7,michael.lawson@reqres.in,Michael,Lawson
8,lindsay.ferguson@reqres.in,Lindsay,Ferguson
9,tobias.funke@reqres.in,Tobias,Funke
10,byron.fields@reqres.in,Byron,Fields
11,george.edwards@reqres.in,George,Edwards
12,rachel.howell@reqres.in,Rachel,Howell
